recipe_id,recipe_name,calories,fat,carbohydrates,protein,fiber,sodium,image_url
1,Quinoa Khichdi,150,5,20,10,5,100,i1.jpg
2,Brown Rice Pulao,250,8,40,8,8,150,i2.jpg
3,Palak Paneer (Low Fat),180,4,30,15,7,120,i3.jpg
4,Lentil Soup,100,3,15,6,5,150,i4.jpg
5,Chickpea Salad,250,8,35,8,8,180,i5.jpg
6,Vegetable Upma,220,6,35,12,8,200,i6.jpg
7,Cucumber Raita,150,7,30,10,7,180,i7.jpg
8,Tomato Soup,200,8,25,14,6,150,i8.jpg
9,Carrot Halwa (Diet),300,15,40,12,8,230,i9.jpg
10,Capsicum Stir Fry,250,10,45,10,7,220,i10.jpg
11,Ginger Tea,180,9,35,15,5,170,i11.jpg
12,Garlic Soup,220,10,35,18,6,180,i12.jpg
13,Turmeric Milk,240,8,30,16,7,200,i13.jpg
14,Cumin Rice,250,6,40,12,8,210,i14.jpg
15,Chana Masala,180,9,30,14,7,180,i15.jpg
16,Curry Leaves Chutney,210,5,25,10,5,200,i16.jpg
17,Coriander Chutney,150,4,20,12,5,150,i17.jpg
18,Yogurt Smoothie,200,5,30,10,6,170,i18.jpg
19,Vegetable Soup,230,7,35,15,8,180,i19.jpg
20,Olive Oil Dressing,260,8,40,18,6,200,i20.jpg
21,Spinach Dal,190,6,28,13,7,170,i21.jpg
22,Lemon Rice,240,7,38,11,6,190,i22.jpg
23,Paneer Bhurji (Low Fat),220,9,20,18,5,200,i23.jpg
24,Vegetable Khichdi,210,6,32,14,7,180,i24.jpg
25,Masala Tea (Light),160,5,22,8,4,140,i25.jpg

26,Oats Vegetable Cheela,190,5,28,12,6,160,i26.jpg
27,Moong Dal Chilla,180,4,22,14,5,150,i27.jpg
28,Ragi Porridge,160,3,25,8,6,120,i28.jpg
29,Steamed Idli (Brown Rice),140,2,28,6,3,110,i29.jpg
30,Sambar (Low Oil),170,5,24,9,7,140,i30.jpg
31,Vegetable Poha (Diet),200,6,32,8,5,170,i31.jpg
32,Grilled Paneer Tikka (Low Fat),210,7,12,20,3,180,i32.jpg
33,Sprouts Salad,150,3,18,12,6,130,i33.jpg
34,Bottle Gourd Soup,120,2,15,7,4,100,i34.jpg
35,Multigrain Roti,110,2,20,4,3,90,i35.jpg
36,Mixed Vegetable Curry (Low Oil),200,6,30,9,6,160,i36.jpg
37,Apple Cinnamon Oatmeal,180,4,32,7,5,120,i37.jpg
38,Banana Peanut Smoothie (Light),220,6,35,9,4,150,i38.jpg
39,Grilled Vegetable Sandwich (Brown Bread),240,7,38,10,6,180,i39.jpg
40,Tofu Stir Fry,210,8,18,16,5,170,i40.jpg
41,Vegetable Dalia,190,5,30,9,6,150,i41.jpg
42,Chia Seed Pudding,160,6,18,8,7,110,i42.jpg
43,Baked Sweet Potato Chaat,200,4,35,6,5,140,i43.jpg
44,Green Peas Soup,170,4,22,10,6,130,i44.jpg
45,Low Fat Vegetable Paratha,230,7,34,9,5,180,i45.jpg
46,Methi Thepla (Light Oil),210,6,32,8,6,170,i46.jpg
47,Corn Spinach Salad,180,5,26,9,5,150,i47.jpg
48,Low Fat Kheer (Oats),220,6,35,10,4,160,i48.jpg
49,Baked Falafel (Diet),240,8,30,12,7,180,i49.jpg
50,Vegetable Clear Soup,110,2,14,6,4,90,i50.jpg

